Importers,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023,Imported value in 2024
Switzerland,50162,54316,65049,74746,74852,81649,92605,98068,112163,128344,112259,120382,267577,280402,260815,272441,305161,309521,279122,267374
Indonesia,5444,5241,16812,29046,24762,49217,85941,161133,127809,166457,159176,181199,242807,325880,272556,267471,333549,332092,309849,264584
Romania,36350,37093,45865,60123,26330,22088,19903,17927,21909,22863,21927,22378,156492,190751,197069,213998,259724,257048,247906,263842
Italy,31667,43727,61388,53263,40995,47467,38512,25207,26015,31351,28810,35665,175300,176175,190328,177334,237509,322118,293312,260643
Morocco,1957,6371,12069,22623,30434,17561,18091,13709,26380,22947,15378,16324,175640,195831,214789,194186,246294,220626,209795,246588
Malaysia,8044,19548,17155,29250,21250,30139,41447,40877,61598,80770,94892,86278,126713,179076,146979,163901,170377,203948,180394,234578
Japan,57731,74231,79023,75622,62266,65639,76672,89237,104554,101574,93518,96385,252665,259579,272237,232239,267738,274924,249397,232207
Poland,43019,46670,59604,86185,57355,55302,53599,45622,51106,57906,61510,46268,139175,214186,0,246750,322960,328010,207635,227071
Austria,42641,41241,53255,60922,61267,55299,58942,66083,75529,83282,70061,76848,223316,233325,230426,222086,253846,250638,224122,212930
Iraq,,,,,,,,,,700,20922,16328,299465,381542,340612,342273,376998,446546,446065,207601
Dominican Republic,340,416,818,1333,1085,1395,2155,2157,2144,1535,1621,2535,93878,114041,134346,106035,245978,305010,191002,205817
Greece,21889,25153,35655,50120,32547,23185,18021,10104,11213,14798,11152,13468,84164,100932,102288,97811,140471,170028,179469,202097
Netherlands,37130,48386,57834,60579,44086,40236,52558,47651,51012,51824,74600,67416,197663,231620,237224,268047,328596,262461,208920,200557
Chile,6433,8467,14038,16926,7699,19127,14788,19463,21101,20683,16454,15695,181599,199636,184257,156134,347173,287448,171109,161468
Kazakhstan,8863,27800,40096,34640,25497,18049,26964,28992,32422,31458,23538,15546,109155,113057,112402,105547,151356,143213,155675,148184
"Taipei, Chinese",67375,63001,78767,76521,42376,53193,55373,70353,76039,79298,79141,62912,124783,124763,123821,137998,157568,167856,143572,147952
Colombia,9240,16432,15678,24243,19576,22603,26586,36499,44986,58900,46163,44923,129610,141345,121046,90879,193420,205917,112917,146756
Hungary,22896,24067,32672,32120,23546,17674,16995,13748,14526,17492,15098,20388,96496,114626,137942,135038,158355,172011,131788,141282
Peru,2647,4180,7591,17484,14276,59742,32990,83072,98253,51864,50907,35905,119385,137331,137890,118912,237027,216037,150393,136752
Kuwait,,25668,8264,80599,25054,30714,18774,24769,15633,21792,24690,22515,82226,90251,96581,105858,138727,142799,152123,135312
"Libya, State of",,,1129,2571,3367,3900,,,,,23262,18789,35061,53951,135246,90347,160190,143567,175765,130525
Croatia,12302,16085,20683,24109,17827,17428,17383,14768,15247,16533,15733,16986,83334,96164,91132,82021,104234,122978,122123,127871
Czech Republic,18280,16833,22564,30054,22250,14893,21505,18863,20961,21703,17690,22002,121111,123798,116753,112820,142228,136813,119691,126599
Guatemala,237,330,297,651,398,557,1051,1330,1990,2677,3380,4357,23898,27686,29627,34183,96334,119071,100381,116172
Cambodia,5402,3309,4489,1922,609,513,18040,23160,27377,51879,50807,58529,88671,92798,133979,123993,118511,127672,119137,114601
Spain,37350,49400,65487,59957,37085,51186,50885,41073,49705,47097,38059,48768,100525,110095,110549,130712,171774,175172,118349,112212
Portugal,17071,19807,25147,30433,20930,17069,16086,16261,10764,8268,9514,14676,69849,89818,87034,95447,104622,127320,121800,111598
Côte d'Ivoire,2873,2310,2100,4083,3053,2047,1453,2815,4247,17243,15787,15289,18451,45068,57330,73903,93270,111728,120693,104119
Singapore,17879,17435,21962,20887,19957,21422,24606,35141,37673,29673,35177,29042,29608,96464,72952,49757,88596,114441,98776,99510
South Africa,8626,9135,15741,13633,15273,14695,18013,21219,22593,22441,23426,22537,127963,144838,129755,95474,127244,117114,108287,99005
Türkiye,27362,44835,27111,32616,22285,40467,36545,42021,49863,55722,38516,31769,32683,18090,12304,19358,39661,90243,112247,98260
Viet Nam,11051,9078,1800,3200,6374,10901,16975,34754,40026,38928,40826,44268,43681,99403,100856,80736,60242,109451,98957,93345
Serbia,,6337,10076,13190,6696,7124,7753,7919,7703,8684,7756,9287,40695,48793,54990,63860,84095,91424,81695,88606
Ukraine,21673,20484,19498,20314,6472,4833,6585,9764,14229,8162,4849,7702,7330,9897,10069,69027,128806,71308,100756,87268
Ecuador,7345,11746,16154,16053,10706,15374,16514,30727,23489,18758,26817,9997,33403,78159,85893,51821,87311,106194,92499,84376
Oman,3614,3438,4081,7953,6196,6768,6943,16937,13094,27096,17028,21482,103501,110951,87887,88825,85475,99781,93437,83388
China,5853,7270,16646,13948,18602,17315,27393,21754,16706,18664,14525,12682,126404,148550,165339,153396,172413,145357,114827,81296
Uzbekistan,,,,,,,,,,,,,1406,13633,25376,21881,30536,41296,47977,80349
"Hong Kong, China",26424,27414,35515,37400,21927,27184,23272,22076,22826,23011,26104,29093,113122,118881,111232,90032,109285,92432,89269,78650
Jordan,4693,5705,4999,8263,14425,24244,21353,32021,31467,40586,63140,37048,143482,158459,119230,114517,152451,144024,128440,77495
El Salvador,21591,29030,28850,26015,16437,18718,24980,438,28000,30694,729,4648,35347,39630,47943,38652,68413,92515,77593,76123
Sweden,20734,29559,36164,39736,31871,35559,38386,38191,33207,28656,27715,28735,102882,102213,103234,105913,117879,126904,93937,76017
Cyprus,4165,6886,6578,8183,5850,5596,5643,4169,5352,2715,2297,2716,32203,41772,41552,46097,57510,69558,69443,75589
Costa Rica,406,494,706,846,382,723,1620,3482,5120,8563,11133,9450,54604,54233,45961,46242,70093,77025,74085,75073
Paraguay,676,807,1233,2553,1632,3076,4859,5640,6068,7103,7030,5697,52377,58007,55008,49511,73626,75494,65849,74501
Georgia,1660,2488,4503,6745,2126,3623,6923,5758,4493,5703,3813,3640,9666,9635,10166,17046,53587,72066,81834,72005
Qatar,14863,21052,22351,34213,63317,34368,35573,35575,33306,34025,36811,,85059,102343,80324,93095,104005,105300,78478,70041
Ghana,5242,5456,4663,5110,3732,4984,12903,11652,13488,14830,16568,17690,18789,64891,64449,,77918,60032,44731,68934
Slovakia,9888,11411,14622,17259,14393,11783,12402,9849,8348,9459,7551,9224,58966,57706,57088,65205,76155,82528,78839,67845
Norway,17379,18571,24590,30216,24611,30723,31994,32533,33767,29614,26602,26910,79086,81855,78023,75235,86153,84811,73196,67832
Ireland,16045,16403,23427,18256,7781,6717,5017,3420,3918,5500,5120,6673,26132,32326,26706,27698,54201,65094,63512,67287
Bulgaria,10643,14140,16709,23878,19637,12498,7635,7819,6281,5411,4726,5145,38194,40821,41453,44779,62767,73669,72112,63853
Lebanon,2153,1894,2761,2497,4937,18539,18848,8208,9770,10727,9559,9179,181476,165398,102867,37263,67013,95905,80150,63628
Azerbaijan,511,770,651,783,2534,779,2063,3344,3886,3242,3687,7794,16838,46128,50571,49208,62568,67911,78208,63517
Denmark,20189,31252,38884,37700,20472,24801,26712,25458,23788,29633,25386,23302,51840,64313,46321,54139,70239,75484,63791,63324
Albania,2099,2307,2326,3066,2111,3268,2410,1787,2125,3107,3988,3062,41348,40965,43491,44822,61873,0,60456,61904
Bosnia and Herzegovina,2042,2664,5239,5095,4822,4532,4092,5536,5518,6136,6095,6121,39373,42361,42226,37886,51302,53558,56230,59051
Lao People's Democratic Republic,,,,,,333,579,124,558,287,329,424,30435,25464,27392,29777,28908,32334,30085,56075
Kenya,901,1316,842,1692,1314,3557,3139,3558,9182,10538,11104,10432,13586,15951,18334,43083,68080,69617,54498,54855
Syrian Arab Republic,0,119,250,58,628,1117,34041,10696,5714,14747,4369,2778,15115,20134,18873,19975,30293,35822,34036,53521
Finland,13862,14531,18935,20810,15945,16711,17830,15718,15865,14292,12038,12271,53408,55645,55904,52638,62820,70855,55346,51448
Lithuania,10979,13236,19379,18050,7760,7215,9991,11131,14608,19356,14565,13817,42488,43721,45513,47419,63107,65907,60373,51420
Slovenia,7520,9514,12096,14705,11902,11072,9667,7286,8813,6445,6167,7835,31419,42346,44827,45933,54948,57979,61899,51258
Egypt,217,436,1098,1834,1977,3485,3032,8909,9762,7934,7907,2540,5035,11352,43372,41007,39587,35696,40018,49972
Myanmar,,,,,,4515,6432,5580,10455,8270,13165,17988,29420,37158,71729,66094,39377,65490,65936,49844
Mongolia,11,35,38,,,360,314,273,904,1692,785,595,7814,15563,18680,18285,26773,45195,42739,49728
Panama,4323,5697,5449,5124,5742,7026,7026,3060,2820,2793,2613,3325,59358,54143,55172,23196,58239,74958,53554,47341
Sri Lanka,979,1724,732,1281,590,456,625,908,2057,911,1830,2248,18022,,58908,20714,5852,6576,12289,46585
Argentina,7923,12004,19930,28948,20401,40545,42888,16088,17431,16046,19465,30974,18243,94422,51691,45202,79777,88935,75315,46535
"Moldova, Republic of",2206,2921,3155,4531,2965,3871,5043,5267,5017,5234,4556,4152,7847,5394,6375,34989,40205,39552,41582,45628
Tajikistan,,,,,,,,,,3200,2014,3155,6494,11285,12085,11700,20977,30368,33607,45605
Guinea,703,416,602,1507,1177,1150,1843,550,459,586,441,1379,37606,25591,31344,23071,29915,34321,51083,45543
Honduras,2390,2926,3038,3198,2132,3857,4758,5924,5907,4081,4258,4069,40665,29591,28726,21002,46950,81500,44924,44289
Nicaragua,74,71,130,96,129,312,858,2208,2129,1297,1877,2917,30701,20218,19986,20945,30380,39853,38792,43291
"Tanzania, United Republic of",586,824,698,2167,1346,735,2679,3759,3760,4223,3185,3372,15498,14539,14927,19682,23611,33130,37687,41096
Uganda,771,1076,1800,1112,1158,938,1494,1302,2139,6031,4120,1650,1568,5594,17096,20121,23475,30125,38694,40646
Uruguay,2432,2873,3638,5424,3492,4374,5696,5164,4111,3717,3622,2433,30210,30742,30877,29946,42431,40838,41623,40551
"Korea, Democratic People's Republic of",1182,182,729,1112,1775,1527,1479,1295,1173,551,896,373,45487,36807,41957,932,1267,9087,40732,40482
Tunisia,4786,5921,7220,9714,10148,10575,8637,10835,17269,15833,9453,11151,29103,30553,25427,21574,31827,38652,36028,40376
Armenia,31,6,167,354,312,467,770,703,597,446,475,609,16071,19669,18859,18981,21742,32238,32175,39716
New Zealand,4903,4691,5761,6166,4933,6297,5884,6594,6108,7814,7591,8226,41599,41414,43298,38665,58802,56467,41610,39110
Bahrain,2017,660,999,3637,7427,15797,8906,8259,6938,8366,8202,9364,41845,46176,44654,46137,55960,57997,36012,34769
Burkina Faso,425,685,1015,1453,1670,2143,1559,1481,903,1081,1023,761,196,0,18449,21750,27638,24250,32798,34129
"Venezuela, Bolivarian Republic of",10909,11115,34609,36018,16655,15862,24526,38743,24611,23966,12505,6819,9090,6137,7690,9391,16798,21697,30170,33965
"Macedonia, North",1475,1183,2371,3596,2878,2722,3285,3767,4641,3423,3181,3185,29757,30054,28526,29783,39709,40567,36387,33525
"Congo, Democratic Republic of the",,,,,,,,,,,5059,3578,3198,4671,3439,3025,2386,27838,1,32973
Rwanda,351,553,596,1672,1298,1192,1444,2197,2325,2537,5689,5724,6003,3871,0,0,0,12496,42103,32913
Malta,1335,1395,1999,2522,2944,2956,2780,2208,2715,2265,2239,2699,18198,24756,23853,26263,29542,33844,31915,32133
India,35161,47873,75320,84527,56138,106864,186862,156349,97455,116308,190803,75410,70260,51871,41927,23984,27134,30526,33976,31320
Yemen,218,126,71,502,198,50,69,69,122,200,59,7783,46521,50317,60654,64640,80804,80376,48812,30832
Luxembourg,6426,7796,11283,12258,10624,10069,11114,11050,11453,13295,12382,12319,30192,36692,32379,35634,42985,42315,39341,30249
Kyrgyzstan,388,353,671,751,1751,1068,1199,1437,1174,2149,2255,2455,22994,15250,15525,14151,18818,18756,25151,30150
Jamaica,503,567,612,634,376,480,1176,2435,451,447,502,580,1174,9234,25100,20012,23885,37665,32363,30061
Brazil,934,5913,23482,56354,66415,165933,256898,230584,268265,206303,110466,34075,59073,56459,46507,37744,40701,33659,33635,30025
Mauritius,1754,1734,3015,2540,2761,2486,2647,2407,2565,2067,1812,2402,16078,22786,21670,20635,28603,34204,29418,28057
Djibouti,,,,,0,,,,,,,,,,,,14582,17156,10283,27587
Nepal,,,,,18,156,182,81,18,84,105,417,24978,57549,69149,61309,95037,66459,39617,27469
Belarus,6603,9030,13481,22599,13733,19083,15436,21203,24088,24454,15919,9853,41183,45019,48999,46943,48723,23919,29800,26854
Togo,217,,703,871,1992,3668,2347,1749,3381,5458,2536,1967,4620,9251,11815,14495,19431,21185,26073,26542
Zimbabwe,114,69,80,17,103,218,1198,709,1297,727,893,401,4952,5810,15832,16030,22387,22281,23299,25125
Cameroon,4685,6286,7731,9882,11539,10026,10992,12013,10780,12686,15471,10101,13683,4337,103119,81940,84295,82310,70072,24886
Madagascar,1070,660,895,1418,653,621,530,587,689,1390,1971,6571,5873,9445,13969,11839,22607,23995,16854,23659
Bangladesh,3583,7031,9144,11712,12161,18504,25826,25897,17472,,21875,31692,54898,41772,35375,22167,36810,37016,36994,23605
Senegal,2301,1297,1191,2193,1465,1318,1275,1684,2118,1594,959,2169,3867,4784,5734,9081,9642,9613,10458,23088
"Bolivia, Plurinational State of",563,744,1451,2085,2008,2024,4283,3577,3786,5427,6267,5027,30971,31447,31151,22379,34828,38485,33604,23040
Estonia,4131,5028,5564,5843,5125,3794,6518,5003,6469,7358,3666,3890,14537,16496,16293,16297,19097,20752,18082,21662
Benin,1206,1354,1362,1823,3029,3213,2171,1215,2353,1863,1174,1308,4785,6791,14409,18942,21850,32583,24430,21479
"Palestine, State of",,,2850,2510,2438,3327,4361,5067,5116,5662,5623,6375,69384,82565,72983,62135,89667,114593,94302,20886
Mozambique,951,1096,1188,1604,1691,1579,1753,1670,4013,4379,5550,2705,8449,14470,22121,19522,30958,28827,31189,20855
Montenegro,,1108,1702,3070,2844,1952,2889,2129,2103,3183,2669,3134,15250,17213,18006,14058,14872,23442,25714,20786
Mauritania,966,,2982,4900,4180,4663,2824,3565,3474,4184,6430,8555,11044,9067,8151,15882,18003,17551,17613,19903
Somalia,13,,,49,75,143,53,161,205,366,446,1286,8173,18996,18556,20286,23274,22250,27420,19368
Mali,801,1854,1562,2783,,2156,1345,1064,,,,615,1331,37087,48591,65232,77828,57930,61706,18555
Botswana,865,554,728,755,949,1817,1997,1729,984,1076,1052,782,3391,4947,4439,6283,12336,15472,17515,17897
Latvia,7193,8519,11927,9808,3484,2810,2686,2767,3220,4815,4246,4211,23645,27232,26025,24794,27278,30501,18718,17276
Malawi,136,208,343,155,366,596,789,954,914,1204,723,799,1387,2884,5303,9706,12457,11411,14527,14898
South Sudan,,,,,,,,5,191,39,44,154,85,323,446,1990,2422,2285,3901,14841
Nigeria,,62687,59991,143584,201630,381276,117694,275756,254643,150999,55902,20671,9838,9512,6965,17577,22485,34506,23154,14820
Maldives,647,817,1394,1593,1154,1023,1075,1201,925,1539,8690,2601,15338,17963,23865,10006,19135,17193,13350,14672
Pakistan,936,791,772,1201,7827,9967,14091,17087,23814,44949,45683,42249,111127,145744,59947,32998,31316,26326,16136,12758
Bahamas,2266,2711,4698,2132,2463,2689,1970,1979,2470,2488,2695,4012,4750,1159,699,3989,8241,12471,12222,12302
Guyana,41,57,110,220,85,203,436,1083,777,626,221,119,229,244,3595,6669,10254,11825,14375,12200
Sierra Leone,,,,,,,,,,64,12,177,15,18,8114,12584,13612,16291,24891,11753
Gabon,697,806,1027,2253,1860,2858,2581,1622,2483,3223,1595,2483,2373,3680,4710,7565,11847,12345,14599,11401
Congo,,,599,1564,1713,1653,1706,1052,1982,3389,2897,2754,1445,8734,10462,10524,11327,8366,10891,10957
"Macao, China",6169,6572,6536,8675,7287,6031,5610,19519,10904,9473,1332,1022,15391,11504,12098,9287,13467,11551,13588,10552
Sudan,,,,,,,,760,338,707,1102,671,47873,20961,37119,36515,25538,25331,16303,10277
Ethiopia,522,739,457,377,970,1445,1410,1637,3210,4899,4326,7569,18574,7697,17986,31590,28874,39835,32870,10229
Burundi,344,523,657,662,784,836,1815,987,1131,324,444,1824,3293,2310,2929,5272,6505,8243,9174,9204
Algeria,4199,4488,4419,8975,11925,10665,16221,18944,21559,27207,27125,25667,106696,107000,77681,70552,54322,22229,17270,9152
Liberia,,,,,,,,,,,,,6883,6739,5828,7036,11177,11871,12570,8723
Angola,1158,4789,8559,7553,16835,12983,12653,23427,23412,25807,6481,5395,9492,28335,39515,16065,12794,24305,27047,8361
Brunei Darussalam,2939,3967,6693,6618,4425,3319,4009,3737,4522,6636,4903,3727,5316,6372,6488,7167,7577,8913,6307,7868
Cuba,233,330,,,,,,,,,,1000,2425,47673,24512,17270,30435,24588,7599,7573
Namibia,561,881,1021,1157,3681,5756,6021,2570,4087,3956,8451,8327,6165,2959,3454,3447,6048,5126,5716,7372
Cabo Verde,48,45,360,481,280,409,403,272,120,105,366,27,1189,3561,6761,8934,7760,9809,10214,7289
Iceland,2399,2498,3663,2729,1567,1263,1358,1266,1125,1665,1936,1987,6694,7043,6812,7758,8010,8375,7428,7184
Barbados,1377,1472,884,903,1147,609,838,583,976,677,706,1365,1692,1302,2092,3914,4168,8877,7591,6932
Equatorial Guinea,211,845,1819,1483,7029,3099,2793,5889,3446,2767,2226,948,5910,5948,5269,5809,5646,12012,10513,6812
Haiti,,,,,,,,,651,1340,955,703,323,16085,9215,12842,16012,13080,9677,5874
Bhutan,9,32,129,25,2,48,20,76,,,,19,341,1526,2249,1343,1117,3195,5316,5299
Belize,50,79,66,11,45,31,47,40,22,22,27,107,242,2576,3772,2248,4502,6336,6214,5182
Papua New Guinea,,,,,,,1333,1327,,,,,,,1316,2835,3263,4890,6182,5156
Fiji,1255,842,482,450,95,535,473,670,962,949,961,986,3499,4778,5133,5740,4493,7317,5620,5076
Andorra,,590,653,666,467,647,495,424,468,803,749,813,2289,3142,3015,2565,4159,5133,5312,5038
Seychelles,409,743,,1014,2699,1171,925,1090,1021,368,851,1540,1334,4041,4281,4713,3825,6344,6962,4900
Aruba,0,0,0,0,515,457,1352,1893,1694,2353,1821,1706,2863,4124,4652,3109,2559,6092,4736,4847
Curaçao,,,,,,,,,,,,,435,1348,1554,849,3337,6107,4912,4650
Guinea-Bissau,56,,,,,,,,285,542,838,722,884,1252,3227,3186,2942,2640,3240,4547
French Polynesia,1163,651,900,643,706,1065,628,675,829,998,1121,1017,3130,3867,3912,4905,5119,7248,5396,4467
Niger,104,67,179,189,258,329,278,201,464,234,201,339,255,3172,4703,5030,6572,5391,6029,4320
Turks and Caicos Islands,,,,,,,96,173,57,198,240,299,864,821,1220,1234,1362,2468,3019,3638
Timor-Leste,5,,,,,,,,193,,,,328,198,482,3690,2942,6185,5792,3442
Zambia,598,590,794,885,894,1243,1775,5098,4207,3937,2543,3457,6358,5504,6559,5927,5020,4950,3718,2951
Turkmenistan,409,183,194,777,975,1463,1818,2012,1914,2941,3407,1254,13929,8932,6847,7073,10104,11642,12636,2535
New Caledonia,618,508,586,767,748,960,994,1411,1287,1405,1895,1725,3222,3720,3338,3523,3325,4841,3463,2287
Saint Lucia,116,161,142,107,,,,155,202,96,239,307,707,152,117,112,1318,1752,1564,2163
"Iran, Islamic Republic of",789,277,0,4392,7334,10107,11529,8244,1108,2845,1575,1393,10425,4969,138,398,4,0,1,2131
Comoros,28,,10,169,591,456,430,631,583,543,700,872,1413,1512,1109,1292,2146,4871,6359,2006
Eswatini,189,193,154,0,0,0,685,396,175,168,173,569,632,2258,2196,2523,3989,3134,2520,1985
Gibraltar,112,153,198,178,1167,113,583,63,249,205,103,171,1788,2207,1596,1626,2817,3331,2682,1859
Lesotho,5,57,182,64,532,640,79,106,66,50,586,460,907,319,0,1735,2489,2685,2251,1826
Cayman Islands,,,,,,,,,,,,,,,,2403,3434,4008,2551,1810
Suriname,0,,0,,1947,1613,1477,1441,1479,1164,1256,1257,1048,1738,2342,3196,4464,4021,3128,1611
Trinidad and Tobago,1166,1521,1343,1110,1355,864,736,877,746,1158,1335,1126,1339,1220,1851,830,1249,1050,1458,1489
Sint Maarten (Dutch part),,,,,,,14,,105,591,601,417,587,2158,1380,1135,765,607,728,1210
Antigua and Barbuda,1124,,1475,,710,691,417,136,125,104,334,377,620,633,496,585,544,1093,1048,1130
Samoa,146,136,157,66,24,9,44,17,96,44,209,265,93,427,270,1187,1195,1003,969,1104
Tonga,,,,33,37,40,80,124,77,51,,,46,33,31,38,19,17,5,1064
Ship stores and bunkers,2,2,114,4,35,2,4,,4,12,23,8,61,89,457,262,21,1058,876,976
Saint Vincent and the Grenadines,45,35,61,320,98,125,62,107,97,50,35,67,43,445,152,272,640,153,3009,914
Gambia,0,129,80,253,38,4,129,64,91,40,21,27,309,280,300,265,411,557,1180,861
Vanuatu,,420,275,,154,391,225,150,101,54,594,180,502,540,356,447,370,777,1018,860
Dominica,6,20,6,10,12,23,24,22,19,,,104,143,216,495,0,0,0,1360,780
Saint Kitts and Nevis,19,29,30,54,156,235,37,11,59,35,149,83,177,401,405,433,508,586,508,732
Sao Tome and Principe,39,141,238,272,63,103,48,72,21,55,86,139,218,113,298,290,468,289,335,693
Guam,,,,,,,,,,,,,,,,,5,4,677,687
Solomon Islands,1,3,12,31,113,61,127,91,57,0,13,84,75,142,664,568,1037,1006,1710,673
Chad,149,61,114,30,426,399,170,477,617,3224,937,84,837,932,449,694,914,909,862,538
British Virgin Islands,27,165,43,54,71,33,56,33,46,34,,111,415,559,445,327,615,1013,583,523
"Bonaire, Sint Eustatius and Saba",,,,,,,,21,27,,31,43,274,358,338,289,110,747,446,449
American Samoa,,,,,,,,,,,,,11,,31,30,,,749,407
Central African Republic,,0,4,96,58,93,41,35,62,0,28,115,333,376,775,300,723,957,1546,380
Grenada,471,137,235,111,,122,62,90,155,93,145,158,177,304,222,398,234,809,601,358
Marshall Islands,9,4,5,2,2,10,66,15,,130,1,6,34,61,108,37,71,55,49,265
Bermuda,,,,,,,,78,52,18,76,80,269,153,333,457,234,482,322,233
Faroe Islands,190,151,111,190,41,44,51,35,69,56,51,48,126,249,290,109,121,320,187,190
Northern Mariana Islands,1,24,2,6,,7,,3,,,,,60,42,53,14,,8,546,182
Afghanistan,,,,0,0,0,0,0,0,0,0,0,0,0,0,14179,9748,7835,13152,169
United States Minor Outlying Islands,60,82,115,122,90,20,15,,155,465,26,49,189,263,205,147,181,166,790,152
Norfolk Island,2,,,2,10,,3,,9,3,,8,6,4,28,21,70,21,73,144
Kiribati,14,,11,4,8,9,1,8,8,96,4,10,0,2,,59,145,165,534,143
Anguilla,66,80,82,123,34,11,9,81,18,69,,18,34,1349,153,36,294,171,248,130
Palau,,,,,,,,3,,39,67,104,46,29,159,170,996,67,174,107
French Southern and Antarctic Territories,33,31,36,,5,1,,,20,,,12,,2,,,8,11,,105
Wallis and Futuna Islands,13,1,12,39,36,31,,26,19,16,19,14,44,75,58,97,165,112,70,102
Tuvalu,,8,,,6,,3,452,1,,,49,12,35,40,11,39,56,28,95
Nauru,,,,,,,,3,6,18,6,79,2,162,45,95,213,236,181,84
"Micronesia, Federated States of",40,44,90,38,24,6,1352,13,83,,246,10,37,141,65,102,60,272,173,80
Eritrea,108,24,8,295,189,824,117,15,25,7,10,8,136,165,1315,16,108,12,140,74
Saint Helena,1,1,4,,,,,,8,,2,,21,,7,4,21,6,13,53
Cook Islands,0,,,,,,,,,,,,,,,,,259,102,47
Bouvet Island,,,,,,,,,,,,,,,,,,,,23
Saint Pierre and Miquelon,,,,,,,,,,,,,,17,13,50,57,25,12,13
Falkland Islands (Malvinas),,,,,,,,,,8,9,14,5,7,20,31,11,12,9,10
Cocos (Keeling) Islands,17,,,,,,,,,,,,2,2,,7,32,2,,9
Niue,,1,,5,,,5,1,2,4,3,6,1,1,19,6,,2,,7
Free Zones,173,625,204,65,43,212,417,275,224,71,150,194,259,702,129,182,200,51,33,6
Greenland,2,3,0,5,0,0,9,3,0,0,2,0,9,3,6,45,,15,75,3
Western Sahara,,,,,,,,,,,,,87,,,,,,,1
Montserrat,12,19,1,12,18,,,15,11,1,2,25,1,2,15,9,0,0,0,0
Netherlands Antilles,556,719,863,1276,4824,1106,,,,,,,,,,,,,,
Christmas Island,,,,,,,,,,,,,9,21,13,11,9,10,3,
Mayotte,379,328,478,352,263,118,219,604,1756,,,,,,,,,,,
British Indian Ocean Territory,,,,,,,,,,,,,,53,,,,7,,
Sudan (before 2012),680,1322,909,1974,2986,815,1085,,,,,,,,,,,,,
Tokelau,4,,,,,,,3,,,23,,,,,,3,,,
Pitcairn,,,,,,,,,,,,,,,,,,538,,
Serbia and Montenegro,4773,4368,,,,,,,,,,,,,,,,,,
